01/29/2026-12:19:18.422499  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:52781 -> 95.100.171.42:80
01/29/2026-12:19:18.423933  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:52780 -> 95.100.171.14:80
01/29/2026-12:19:39.834679  [**] [1:2021076:3] ET HUNTING SUSPICIOUS Dotted Quad Host MZ Response [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 194.116.104.36:80 -> 10.0.40.13:52788
01/29/2026-12:19:39.834679  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.40.13:52788
01/29/2026-12:20:30.610903  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 91.81.130.151:80 -> 10.0.40.13:52790
01/29/2026-12:21:57.628896  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 185.125.188.58:443 -> 10.0.10.11:53948
01/29/2026-12:21:57.704646  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 185.125.188.58:443 -> 10.0.10.11:53948
01/29/2026-12:21:57.704646  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 185.125.188.58:443 -> 10.0.10.11:53948
01/29/2026-12:21:57.782817  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 185.125.188.58:443 -> 10.0.10.11:53948
01/29/2026-12:21:57.832546  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 185.125.188.58:443 -> 10.0.10.11:53948
01/29/2026-12:22:02.755494  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 185.125.188.58:443 -> 10.0.10.11:53948
01/29/2026-12:22:02.763140  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 185.125.188.58:443 -> 10.0.10.11:53948
